Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1772369116.695580006,2294849.635,546.5294,REST,0
1772369116.703641176,2294857.696,518.8209,REST,0
1772369116.708204985,2294862.260,494.4799,REST,0
1772369116.716015100,2294870.070,530.7832,REST,0
1772369116.720546961,2294874.602,526.9595,REST,0
1772369116.728298903,2294882.354,529.3145,REST,0
1772369116.732913971,2294886.970,585.6613,REST,0
1772369116.740517855,2294894.573,616.7036,REST,0
1772369116.744807959,2294898.863,585.1901,REST,0
1772369116.752855062,2294906.910,557.3023,REST,0
1772369116.757487059,2294911.542,541.8589,REST,0
1772369116.765143156,2294919.198,513.0343,REST,0
1772369116.769737959,2294923.793,493.5594,CLICK,1
1772369116.777370214,2294931.425,512.0776,CLICK,1
1772369116.781915903,2294935.971,499.1528,CLICK,1
1772369116.789656162,2294943.712,502.8868,CLICK,1
1772369116.794236898,2294948.292,540.6260,CLICK,1
1772369116.801939964,2294955.995,485.0320,CLICK,1
1772369116.806109905,2294960.165,476.7932,CLICK,1
1772369116.815216064,2294969.271,515.2467,CLICK,1
1772369116.819784880,2294973.840,525.2871,CLICK,1
1772369116.827393055,2294981.448,505.0764,CLICK,1
1772369116.831958055,2294986.013,543.9230,CLICK,1
1772369116.839554071,2294993.609,540.8081,CLICK,1
1772369116.844122887,2294998.178,491.0767,CLICK,1
1772369116.851364136,2295005.419,481.5923,CLICK,1
1772369116.855928183,2295009.983,493.1064,CLICK,1
1772369116.863518000,2295017.573,459.0326,CLICK,1
1772369116.868496895,2295022.552,474.1722,CLICK,1
1772369116.876100063,2295030.155,511.3030,CLICK,1
1772369116.880670071,2295034.725,539.7783,CLICK,1
1772369116.888254881,2295042.310,477.6185,CLICK,1
1772369116.892833948,2295046.889,521.9956,CLICK,1
1772369116.900424004,2295054.479,527.3562,CLICK,1
1772369116.904992104,2295059.047,506.8237,CLICK,1
1772369116.912596941,2295066.653,499.6025,CLICK,1
1772369116.917168140,2295071.224,539.2998,CLICK,1
1772369116.926127195,2295080.182,530.9981,CLICK,1
1772369116.930454969,2295084.510,520.0263,CLICK,1
1772369116.938084126,2295092.139,524.7796,CLICK,1
1772369116.942682028,2295096.737,551.9124,CLICK,1
1772369116.950272083,2295104.328,465.7134,CLICK,1
1772369116.954885006,2295108.940,458.4489,CLICK,1
1772369116.962584019,2295116.640,409.4807,CLICK,1
1772369116.967220068,2295121.275,382.3846,CLICK,1
1772369116.974882126,2295128.937,425.0418,CLICK,1
1772369116.979464054,2295133.519,467.5019,CLICK,1
1772369116.987002134,2295141.057,435.5253,CLICK,1
1772369116.991630077,2295145.685,484.2494,CLICK,1
1772369116.999294996,2295153.350,542.0458,CLICK,1
1772369117.003930092,2295157.985,512.1840,CLICK,1
1772369117.011679888,2295165.735,512.4309,CLICK,1
1772369117.016263008,2295170.318,421.3186,CLICK,1
1772369117.023597002,2295177.652,379.5317,CLICK,1
1772369117.028236151,2295182.291,394.1923,CLICK,1
1772369117.035902977,2295189.958,448.7964,CLICK,1
1772369117.040530920,2295194.586,437.7275,CLICK,1
1772369117.049203873,2295203.259,398.7393,CLICK,1
1772369117.052326918,2295206.382,414.4669,CLICK,1
1772369117.061491013,2295215.546,425.1853,CLICK,1
1772369117.064604998,2295218.660,448.4393,CLICK,1
1772369117.073767900,2295227.823,482.9293,CLICK,1
1772369117.076881886,2295230.937,514.6982,CLICK,1
1772369117.086025000,2295240.080,457.3404,CLICK,1
1772369117.088696003,2295242.751,478.8430,CLICK,1
1772369117.097600937,2295251.657,500.0887,CLICK,1
1772369117.102223158,2295256.278,415.9881,CLICK,1
1772369117.109907866,2295263.963,400.2256,CLICK,1
1772369117.114536047,2295268.591,433.0050,CLICK,1
1772369117.122158051,2295276.213,417.8721,CLICK,1
1772369117.126726866,2295280.782,415.9229,CLICK,1
1772369117.133944988,2295288.000,510.3283,CLICK,1
1772369117.138565779,2295292.621,535.3936,CLICK,1
1772369117.146240950,2295300.296,451.8651,CLICK,1
1772369117.151015997,2295305.071,472.6391,CLICK,1
1772369117.158612013,2295312.668,527.5842,CLICK,1
1772369117.163219929,2295317.275,444.8349,CLICK,1
1772369117.170867920,2295324.923,479.7795,CLICK,1
1772369117.175512075,2295329.567,537.1240,CLICK,1
1772369117.183202028,2295337.257,492.5904,CLICK,1
1772369117.187800169,2295341.855,465.4561,CLICK,1
1772369117.195382118,2295349.437,489.6903,CLICK,1
1772369117.199997902,2295354.053,458.3200,CLICK,1
1772369117.207687855,2295361.743,466.7258,CLICK,1
1772369117.212325096,2295366.380,497.5947,CLICK,1
1772369117.220008850,2295374.065,523.4979,CLICK,1
1772369117.224575043,2295378.630,521.2967,CLICK,1
1772369117.232171059,2295386.227,571.0187,CLICK,1
1772369117.236799955,2295390.855,578.6369,CLICK,1
1772369117.244488955,2295398.544,547.1452,CLICK,1
1772369117.249119997,2295403.175,550.6802,CLICK,1
1772369117.256788969,2295410.844,566.0344,CLICK,1
1772369117.261363029,2295415.418,538.0817,CLICK,1
1772369117.268981934,2295423.037,472.5141,CLICK,1
1772369117.273618937,2295427.674,506.7840,CLICK,1
1772369117.282809019,2295436.864,527.1587,CLICK,1
1772369117.285898924,2295439.954,511.6830,CLICK,1
1772369117.293530226,2295447.585,492.7280,CLICK,1
1772369117.298093081,2295452.148,511.3191,CLICK,1
1772369117.306922913,2295460.979,481.6346,CLICK,1
1772369117.309994936,2295464.050,524.2529,CLICK,1
1772369117.319161177,2295473.216,512.8729,CLICK,1
1772369117.322275162,2295476.330,455.7122,CLICK,1
1772369117.331402063,2295485.457,440.3855,CLICK,1
1772369117.334460974,2295488.516,481.5420,CLICK,1
1772369117.343629122,2295497.684,494.8841,CLICK,1
1772369117.346737862,2295500.793,463.6198,CLICK,1
1772369117.356005907,2295510.061,468.7150,CLICK,1
1772369117.359119177,2295513.174,491.0829,CLICK,1
1772369117.368237972,2295522.293,466.3334,CLICK,1
1772369117.371291876,2295525.347,522.8467,CLICK,1
1772369117.380502939,2295534.558,518.0384,CLICK,1
1772369117.385133982,2295539.189,466.8210,CLICK,1
1772369117.392822027,2295546.877,529.7877,CLICK,1
1772369117.395981073,2295550.036,559.2257,CLICK,1
1772369117.405117035,2295559.172,536.9116,CLICK,1
1772369117.408215046,2295562.270,560.2811,CLICK,1
1772369117.417386055,2295571.441,542.6714,CLICK,1
1772369117.420456886,2295574.512,537.3341,CLICK,1
1772369117.429672956,2295583.728,556.2853,CLICK,1
1772369117.432738066,2295586.793,587.7354,CLICK,1
1772369117.441844940,2295595.900,573.1497,CLICK,1
1772369117.446479797,2295600.535,572.1633,CLICK,1
1772369117.454221964,2295608.277,616.9506,CLICK,1
1772369117.457329988,2295611.385,654.9781,CLICK,1
1772369117.466538906,2295620.594,646.5426,CLICK,1
1772369117.469600916,2295623.656,609.9127,CLICK,1
1772369117.478726864,2295632.782,581.7915,CLICK,1
1772369117.483361959,2295637.417,551.6387,CLICK,1
1772369117.491030931,2295645.086,554.4328,CLICK,1
1772369117.495661974,2295649.718,597.2179,CLICK,1
1772369117.503279209,2295657.334,535.5745,CLICK,1
1772369117.507845879,2295661.901,582.9508,CLICK,1
1772369117.515486956,2295669.542,610.1013,CLICK,1
