Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1771771427.607442856,263689.970,895.0946,CLICK,1
1771771427.614634037,263697.160,980.4908,CLICK,1
1771771427.619786978,263702.313,994.5310,CLICK,1
1771771427.626945972,263709.472,980.1876,CLICK,1
1771771427.632055998,263714.582,1038.9210,CLICK,1
1771771427.639191151,263721.717,1024.7460,CLICK,1
1771771427.644340992,263726.867,1000.1438,CLICK,1
1771771427.651529074,263734.055,1037.4669,CLICK,1
1771771427.656707048,263739.233,1038.4431,CLICK,1
1771771427.663813114,263746.339,1013.0859,CLICK,1
1771771427.668912172,263751.438,986.0446,CLICK,1
1771771427.676123857,263758.650,966.6864,CLICK,1
1771771427.681296825,263763.823,947.1477,CLICK,1
1771771427.688418150,263770.944,952.9174,CLICK,1
1771771427.693581104,263776.107,966.8848,CLICK,1
1771771427.700670004,263783.196,954.3167,CLICK,1
1771771427.705754995,263788.281,943.9298,CLICK,1
1771771427.712992907,263795.520,945.4240,CLICK,1
1771771427.718104124,263800.630,899.8470,CLICK,1
1771771427.725272179,263807.798,864.1315,CLICK,1
1771771427.730428934,263812.955,820.3630,CLICK,1
1771771427.737595797,263820.122,755.5535,CLICK,1
1771771427.742669106,263825.196,719.0619,CLICK,1
1771771427.749871016,263832.397,706.2558,CLICK,1
1771771427.755028963,263837.555,679.1223,CLICK,1
1771771427.762151957,263844.678,678.9683,CLICK,1
1771771427.767270803,263849.797,686.8105,CLICK,1
1771771427.774388075,263856.914,708.6211,CLICK,1
1771771427.779510975,263862.037,697.3513,CLICK,1
1771771427.786725998,263869.252,704.7941,CLICK,1
1771771427.791879892,263874.406,718.9321,CLICK,1
1771771427.799012184,263881.538,696.2020,CLICK,1
1771771427.804130077,263886.656,671.0108,CLICK,1
1771771427.811244965,263893.771,665.4990,CLICK,1
1771771427.816395044,263898.921,673.3214,CLICK,1
1771771427.823651075,263906.177,657.6961,CLICK,1
1771771427.828813076,263911.339,657.4802,CLICK,1
1771771427.835814953,263918.341,633.7861,CLICK,1
1771771427.840749979,263923.276,595.5415,CLICK,1
1771771427.848368168,263930.894,587.7392,CLICK,1
1771771427.852252007,263934.778,590.0865,CLICK,1
1771771427.861233950,263943.760,589.7197,CLICK,1
1771771427.865118980,263947.645,555.4395,CLICK,1
1771771427.872764826,263955.291,553.5603,CLICK,1
1771771427.877851963,263960.378,534.6174,CLICK,1
1771771427.885542870,263968.069,510.3112,CLICK,1
1771771427.889424801,263971.951,493.3034,CLICK,1
1771771427.898406982,263980.933,511.9757,CLICK,1
1771771427.902288914,263984.816,509.7182,CLICK,1
1771771427.910090923,263992.617,479.6010,CLICK,1
1771771427.913912058,263996.438,486.1346,CLICK,1
1771771427.922749996,264005.276,493.6807,CLICK,1
1771771427.926640034,264009.166,478.7389,CLICK,1
1771771427.934345007,264016.871,487.0772,CLICK,1
1771771427.939281940,264021.808,461.5409,CLICK,1
1771771427.946891069,264029.418,430.2238,CLICK,1
1771771427.950746775,264033.273,425.1667,CLICK,1
1771771427.959729910,264042.256,433.5791,CLICK,1
1771771427.963620186,264046.146,428.7999,CLICK,1
1771771427.971334934,264053.861,431.7364,CLICK,1
1771771427.975352049,264057.878,441.3749,CLICK,1
1771771427.984184980,264066.711,420.1938,REST,0
1771771427.988656998,264071.183,378.9127,REST,0
1771771427.996279955,264078.806,393.1304,REST,0
1771771428.000143051,264082.669,419.0136,REST,0
1771771428.009141922,264091.669,396.0380,REST,0
1771771428.012962103,264095.489,420.1699,REST,0
1771771428.020645857,264103.172,446.0417,REST,0
